DEPTH,GR,RHOB,Vp,Vsh,Caliper,Porosity,Resistivity,Stress,PP
22.0024,57.382,1.4506,1.4614,0.033807633,11.4844,66.1596,0.7881,312783.4781,1609.0
22.1548,58.007,1.4506,1.4594,0.044766489,11.4844,66.1591,0.7751,314949.9782,1609.0
22.3072,59.1046,1.4506,1.4577,0.064011993,11.4844,66.1585,0.7798,317116.4783,1609.0
22.4596,59.2124,1.4506,1.4567,0.065902177,11.4844,66.1581,0.7711,319282.9784,1609.0
22.612,59.8294,1.4506,1.4564,0.07672076,11.4844,66.1575,0.7446,321449.4786,1609.0
22.7644,57.6985,1.4506,1.4569,0.039357197,11.4844,66.1571,0.7671,323615.9787,1609.0
22.9168,56.6422,1.4506,1.4581,0.020835854,11.4844,66.1566,0.7528,325782.4788,1609.0
23.0692,55.543,1.4506,1.4605,0.001562295,11.4844,66.1561,0.7672,327948.9789,1609.0
23.2216,56.4154,1.4506,1.4638,0.016859104,11.4844,66.1556,0.7749,330115.479,1609.0
23.374,57.0375,1.4506,1.4681,0.027767111,11.4844,66.1551,0.7567,332281.9791,1609.0
23.5264,55.2908,1.4506,1.4739,0.008213005,11.4844,66.1546,0.757,334448.4792,1609.0
23.6788,54.4794,1.4506,1.4791,0.015063605,11.4844,66.1541,0.743,336614.9793,1609.0
23.8312,55.9223,1.4506,1.4809,0.017444745,11.4844,66.1536,0.7538,338781.4795,1609.0
23.9836,56.313,1.4506,1.4796,0.052991768,11.4844,66.1532,0.76,340947.9796,1609.0
24.136,54.7045,1.4506,1.4773,0.085172229,11.4844,66.1527,0.7422,343114.4797,1609.0
24.2884,53.2055,1.4506,1.4765,0.056872079,11.4844,66.1522,0.7465,345280.9798,1609.0
24.4408,53.3832,1.4506,1.4767,0.074467619,11.4844,66.1517,0.7342,347447.4799,1609.0
24.5932,53.6367,1.4506,1.4764,0.119342819,11.4844,66.1512,0.7621,349613.98,1609.0
24.7456,53.0867,1.4506,1.4753,0.155706934,11.4844,66.1507,0.7513,351780.4801,1609.0
24.898,51.77,1.4506,1.473,0.150786846,11.4844,66.1502,0.7434,353946.9802,1609.0
25.0504,53.1847,1.4506,1.471,0.096332728,11.4844,69.2069,0.7423,356113.4804,1609.0
25.2028,51.357,1.4506,1.4702,0.087041372,11.4844,74.9124,0.7512,358279.9805,1609.0
25.3552,52.8536,1.4506,1.47,0.073256008,11.4844,72.7572,0.7462,360446.4806,1609.0
25.5076,52.4693,1.4506,1.4697,0.08923665,11.4844,69.0907,0.7594,362612.9807,1609.0
25.66,54.4851,1.4506,1.4694,0.112027564,11.4844,72.8837,0.7386,364779.4808,1609.0
25.8124,54.9032,1.4506,1.4697,0.085440502,11.4844,72.8831,0.7338,366945.9809,1609.0
25.9648,54.7564,1.4506,1.4706,0.06058231,11.4844,72.8824,0.7429,369112.481,1609.0
26.1172,54.533,1.4506,1.4714,0.02578575,11.4844,72.6491,0.731,371278.9811,1609.0
26.2696,54.1122,1.4506,1.4739,0.073503239,11.4844,73.6616,0.7515,373445.4812,1609.0
26.422,54.3452,1.4506,1.4794,0.117352691,11.4844,74.2796,0.7332,375611.9814,1609.0
26.5744,56.4488,1.4438,1.484,0.168233345,11.4184,73.3925,0.7332,376007.5635,1609.0
26.7268,58.4761,1.444,1.4835,0.173725047,11.1143,75.843,0.7514,378216.2922,1609.0
26.8792,60.3114,1.4788,1.4789,0.197304998,10.8133,75.841,0.7703,389539.8174,1609.0
27.0316,58.6974,1.5537,1.4755,0.179853239,10.5886,64.9463,0.7614,411590.1698,1609.0
27.184,59.7009,1.6246,1.4789,0.192553238,10.5984,55.6708,0.7519,432798.6387,1609.0
27.3364,62.2602,1.6487,1.4843,0.155452688,10.3917,55.6574,0.7661,441681.3223,1609.0
27.4888,64.3341,1.6647,1.4822,0.116914337,10.1579,55.7283,0.7619,448453.9325,1609.0
27.6412,64.0535,1.6667,1.4793,0.053042617,9.9887,55.8457,0.7605,451481.9628,1609.0
27.7936,60.9479,1.6875,1.4825,0.040044537,9.9431,60.7183,0.7461,459636.66,1613.0
27.946,60.418,1.6991,1.4841,0.065113139,10.0269,59.0361,0.744,465333.8763,1613.0
28.0984,59.6318,1.7125,1.4809,0.085263407,10.1512,57.4429,0.738,471561.398,1611.0
28.2508,60.5432,1.714,1.4791,0.062216494,10.2837,56.9997,0.7438,474534.3378,1612.9921
28.4032,61.843,1.7132,1.4791,0.049297318,10.2054,57.8445,0.7444,476871.55,1612.9919
28.5556,60.3267,1.6714,1.4785,0.037467014,10.0568,60.0343,0.747,467732.7324,1611.0
28.708,58.909,1.6711,1.478,0.075128657,10.0588,62.6309,0.7503,470144.6002,1611.0
28.8604,56.9245,1.6594,1.4778,0.083383744,10.1732,67.2695,0.7532,469331.288,1613.0
29.0128,59.6459,1.6844,1.4778,0.095752347,10.2294,61.7959,0.7483,478917.7711,1612.0079
29.1652,62.1467,1.6802,1.4785,0.021954534,10.2937,61.1404,0.7424,480233.0166,1612.004
29.3176,65.0485,1.671,1.4802,0.012955998,10.3329,61.0889,0.7322,480099.1541,1613.0
29.47,65.3617,1.667,1.4818,0.230733893,10.3375,60.9562,0.7621,481439.602,1613.0
29.6224,66.7065,1.6722,1.4817,0.446688234,10.345,61.2624,0.7486,485438.8573,1613.0
29.7748,65.7112,1.6838,1.4815,0.604017078,10.342,62.8966,0.7519,491321.1208,1616.0
29.9272,66.4355,1.6942,1.4824,0.569676407,10.3524,63.6145,0.7719,496886.09,1615.0
30.0796,64.3196,1.6945,1.4834,0.428370287,10.3461,65.5065,0.7659,499504.8456,1614.0
30.232,62.1217,1.6874,1.4834,0.27175859,10.3439,61.7961,0.7604,499932.0726,1614.0
30.3844,58.479,1.6896,1.4827,0.130929399,10.3236,64.2389,0.7612,503107.326,1614.0
30.5368,57.7377,1.6664,1.4822,0.330492798,10.3867,61.6451,0.7534,498687.9305,1616.0
30.6892,59.1674,1.6313,1.4825,0.474548276,10.5249,65.8498,0.7353,490620.2612,1616.0
30.8416,60.3166,1.5897,1.4841,0.374550906,10.6604,66.3111,0.7794,480483.1369,1616.004
30.994,59.0022,1.5629,1.4861,0.220069611,10.7558,64.1862,0.7684,474717.1215,1617.0
31.1464,58.2654,1.5581,1.4872,0.311252553,10.81,67.9186,0.7977,475586.2172,1617.0
31.2988,57.5907,1.5749,1.4871,0.604418611,10.879,66.9823,0.7808,483066.3052,1617.0
31.4512,59.7386,1.5889,1.4869,0.698410528,10.7723,65.4177,0.7709,489733.5545,1615.0079
31.6036,60.2094,1.6001,1.4876,0.525909366,10.7157,64.7467,0.7868,495575.4195,1616.0
31.756,60.9148,1.5838,1.4887,0.223446692,10.7249,67.5814,0.7695,492892.4974,1617.0
31.9084,56.706,1.5755,1.4885,0.006992627,10.823,68.107,0.7634,492662.5052,1618.0
32.0608,56.1928,1.5575,1.4873,-0.023218748,10.9301,70.1314,0.8056,489360.0208,1618.0
32.2132,68.613,1.5306,1.4875,0.235273489,11.0091,64.2347,0.8255,483194.1344,1618.0
32.3656,80.9292,1.5247,1.4885,0.370775799,11.0806,67.8705,0.825,483608.7371,1617.0
32.518,89.9019,1.5241,1.4886,0.292436636,11.2331,64.0498,0.809,485694.7012,1616.004
32.6704,87.9434,1.5251,1.4877,0.034161823,11.3107,65.2558,0.8024,488291.145,1617.0
32.8228,79.8845,1.5125,1.4873,-0.11299545,11.2082,67.2134,0.8156,486515.953,1618.0
32.9752,70.9527,1.5188,1.4878,-0.108510209,11.0759,70.6537,0.7922,490810.7908,1616.0
33.1276,62.921,1.5337,1.4878,0.080492359,10.9793,73.072,0.7725,497916.4412,1618.004
33.28,74.3024,1.554,1.4882,0.375210191,10.9,65.756,0.766,506827.776,1617.0
33.4324,82.5181,1.5606,1.4904,0.497535572,10.8887,68.3832,0.7877,511311.1137,1620.0
33.5848,76.8151,1.5686,1.4927,0.317989181,10.8582,66.5142,0.7927,516274.9493,1618.0
33.7372,68.0048,1.5672,1.494,0.051599555,10.8717,67.306,0.8,518154.8104,1618.996
33.8896,73.2051,1.5667,1.4946,-0.079897951,10.9055,67.8714,0.8155,520329.3959,1617.0
34.042,89.9248,1.5699,1.4946,0.114882127,10.9716,68.1471,0.7797,523736.8508,1618.0
34.1944,95.2853,1.5619,1.4939,0.310808939,11.0232,65.7113,0.7567,523400.6869,1620.0
34.3468,85.4473,1.5604,1.4921,0.524082305,11.0477,70.3602,0.7576,525228.5179,1621.0
34.4992,68.1974,1.5511,1.4902,0.554753075,11.1236,65.8506,0.7984,524414.7494,1619.0
34.6516,55.8527,1.5535,1.49,0.599687892,11.0474,70.0871,0.795,527546.3539,1619.0
